'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'9/25/24, 1:46 PM",'0,'90.72265625
'1,'Header 2,"'p2-cv",'1,'69.18945313
'1,'Header 3,"'p2-cv",'2,'33.10546875
'1,'Title 1,"'EECS 280 Project 2: Computer Vision",'3,'58.98437500
'1,'Text 1,"'Due 8:00pm EST Friday September 27th, 2024. You may work alone or with a partner (partnership guidelines).",'4,'95.84960938
'1,'Text 2,"'Fall 2024 release.",'5,'87.54882813
'1,'Figure 1,"",'6,'88.42773438
'1,'Text 3,"'i IMPORTANT If you are retaking the course, please note changes this term to the underlying implementation of the Matrix ADT that affect several parts of the project. While we always suggest students retaking the course redo the entire project from scratch (as it is helpful practice), we nevertheless want to highlight these changes to the project.",'7,'97.46093750
'1,'Section header 1,"'Introduction",'8,'93.40820313
'1,'Text 4,"'Build an image resizing program using a seam-carving algorithm.",'9,'93.94531250
'1,'Text 5,"'The learning goals of this project include Testing, Debugging, Pointers, Strings, Streams, IO, and Abstract Data Types in C. You'll gain practice with C-style pointers and structs.",'10,'95.45898438
'1,'Text 6,"'When you're done, you'll have a program that uses seam carving for content-aware resizing of images. The algorithm works by finding and removing ""seams"" in the image that pass through the least important pixels. For a quick introduction, check out this video.",'11,'96.82617188
'1,'Figure 2,"",'12,'93.26171875
'1,'Text 7,"'Original Image: 479x382",'13,'93.89648438
'1,'Figure 3,"",'14,'94.18945313
'1,'Text 8,"'Resized: 300x382",'15,'92.77343750
'1,'Figure 4,"",'16,'93.45703125
'1,'Text 9,"'Resized: 400x250",'17,'90.57617188
'1,'Section header 2,"'Setup",'18,'63.76953125
'1,'Footer 1,"'file:///home/runner/work/p2-cv/p2-cv/_site/index.htn",'19,'88.37890625
'1,'Page number 1,"'1/28",'20,'81.15234375
'2,'Header 4,"'9/25/24, 1:46 PM",'21,'88.52539063
'2,'Header 5,"'p2-cv",'22,'64.94140625
'2,'Text 10,"'Set up your visual debugger and version control, then submit to the autograder.",'23,'46.19140625
'2,'Title 2,"'Visual debugger",'24,'77.97851563
'2,'Text 11,"'During setup, name your project p2-cv. Use this starter files link: https://eecs280staff.github.io/p2-cv/starter-files.tar.gz",'25,'94.14062500
'2,'Text 12,"'VS Code",'26,'95.41015625
'2,'Text 13,"'Visual Studio",'27,'95.99609375
'2,'Text 14,"'Xcode",'28,'93.94531250
'2,'Text 15,"'If you created a main.cpp while following the setup tutorial, rename it to resize.cpp . Otherwise, create a new file resize.cpp . You should end up with a folder with starter files that looks like this. You may have already renamed files like Matrix.cpp.starter to Matrix.cpp",'29,'93.89648438
'2,'Table 1,"",'30,'42.43164063
'2,'Text 16,"'Here's a short description of each starter file.",'31,'52.24609375
'2,'Table 2,"",'32,'70.99609375
'2,'Footer 2,"'file:///home/runner/work/p2-cv/p2-cv/_site/index.html",'33,'91.35742188
'2,'Page number 2,"'2/28",'34,'81.54296875
'3,'Header 6,"'9/25/24, 1:46 PM",'35,'55.71289063
'3,'Text 17,"'p2-cv",'36,'38.91601563
'3,'Table 3,"",'37,'98.19335938
'3,'Section header 3,"'Version control",'38,'54.00390625
'3,'Text 18,"'Set up version control using the Version control tutorial.",'39,'86.03515625
'3,'Text 19,"'After you're done, you should have a local repository with a ""clean"" status and your local repository should be connected to a remote GitHub repository.",'40,'88.03710938
'3,'Footer 3,"'file:///home/runner/work/p2-cv/p2-cv/_site/index.html",'41,'87.01171875
'3,'Page number 3,"'3/28",'42,'63.52539063
