'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'8/23/24, 10:34 AM",'0,'90.13671875
'1,'Header 2,"'p5-ml",'1,'60.69335938
'1,'Header 3,"'p5-ml",'2,'34.30175781
'1,'Title 1,"'EECS 280 Project 5: Machine Learning",'3,'52.53906250
'1,'Text 1,"'Spring 2024 release.",'4,'78.80859375
'1,'Text 2,"'Project due 8:00pm EST Monday June 24, 2024.",'5,'80.32226563
'1,'Text 3,"'You may work alone or with a partner (partnership guidelines). If you work alone, you must work alone on both the checkpoint and the full project. If you work with a partner, you must work with the same partner on the checkpoint and the full project. You may not work alone on the checkpoint and then add a partner for the full project.",'6,'93.99414063
'1,'Section header 1,"'Introduction",'7,'89.01367188
'1,'Text 4,"'Automatically identify the subject of posts from the EECS 280 Piazza using natural language processing and machine learning techniques.",'8,'88.86718750
'1,'Text 5,"'The learning goals of this project include Function Objects and Recursion. We'll reinforce learning goals from project 4: Container ADTs, Dynamic Memory, The Big Three, Linked Lists, and Iterators. You will gain experience with recursion, binary trees, templates, comparators, and the map data structure.",'9,'93.26171875
'1,'Text 6,"'For example, your program will be able to read a Piazza post like this and figure out that it's about Project 3: Euchre.",'10,'91.69921875
'1,'Figure 1,"",'11,'47.65625000
'1,'Text 7,"'question",'12,'76.70898438
'1,'Figure 2,"",'13,'63.08593750
'1,'Text 8,"'stop following",'14,'86.81640625
'1,'Text 9,"'34 views",'15,'37.47558594
'1,'Text 10,"'Understanding Bob's choices in life",'16,'48.43750000
'1,'Text 11,"'In hand 1 of test 01, Bob is the dealer and Cathy orders up Clubs when the upcard is a Jack of Spades. According to the correct solution, Bob discards the Jack of Spades. However, surely he shouldn't do that because the Jack of Spades is left bower and he has several lower cards?",'17,'94.04296875
'1,'Text 12,"'edit",'18,'49.31640625
'1,'Figure 3,"",'19,'58.30078125
'1,'Text 13,"'good question",'20,'88.72070313
'1,'Text 14,"'0",'21,'63.18359375
'1,'Section header 2,"'Setup",'22,'78.46679688
'1,'Text 15,"'Set up your visual debugger and version control, then submit to the autograder.",'23,'85.59570313
'1,'Footer 1,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'24,'87.84179688
'1,'Page number 1,"'1/25",'25,'64.69726563
'2,'Header 4,"'8/23/24, 10:34 AM",'26,'78.22265625
'2,'Header 5,"'p5-ml",'27,'46.48437500
'2,'Title 2,"'Visual debugger",'28,'72.55859375
'2,'Text 16,"'During setup, name your project p5-ml Use this starter files link: https://eecs280staff.github.io/p5-ml/starter-files.tar.gz",'29,'91.74804688
'2,'Text 17,"'VS Code",'30,'91.89453125
'2,'Text 18,"'Visual Studio",'31,'93.31054688
'2,'Text 19,"'Xcode",'32,'91.25976563
'2,'Text 20,"'You should end up with a folder with starter files that look like this. You may have already renamed files like hpp.starter to Map. hpp . You may also have a main.cpp file after following the setup tutorial. If not, you will create a main.cpp file in the Classifier section.",'33,'94.48242188
'2,'Text 21,"'$ ls",'34,'67.23632813
'2,'Text 22,"'BinarySearchTree.hpp BinarySearchTree_compile_check.cpp BinarySearchTree_public_tests.cpp BinarySearchTree_tests.cpp.starter Makefile",'35,'61.86523438
'2,'Text 23,"'Map.hpp",'36,'31.32324219
'2,'Text 24,"'Map_compile_check.cpp Map_public_tests.cpp Map_tests.cpp.starter TreePrint.hpp csvstream.hpp",'37,'35.52246094
'2,'Text 25,"'instructor_student.out.correc projects_exam.out.correct sp16_projects_exam.csv test_small.csv test_small.out.correct test_small_debug.out.correct train_small.csv unit_test_framework.hpp W14-f15_instructor_student.csv w16_instructor_student.csv w16_projects_exam.csv",'38,'58.15429688
'2,'Text 26,"'Here's a short description of each starter file.",'39,'72.02148438
'2,'Table 1,"",'40,'77.05078125
'2,'Footer 2,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'41,'87.01171875
'2,'Page number 2,"'2/25",'42,'78.51562500
'3,'Header 6,"'8/23/24, 10:34 AM",'43,'75.00000000
'3,'Header 7,"'p5-ml",'44,'46.28906250
'3,'Table 2,"",'45,'97.11914063
'3,'Section header 3,"'Version control",'46,'73.38867188
'3,'Text 27,"'Set up version control using the Version control tutorial.",'47,'89.30664063
'3,'Text 28,"'After you're done, you should have a local repository with a ""clean"" status and your local repository should be connected to a remote GitHub repository.",'48,'92.18750000
'3,'List 1,"",'49,'90.38085938
'3,'Text 29 - Part of List 1,"'1 $ git status",'50,'96.72851563
'3,'Text 30 - Part of List 1,"'2 On branch main",'51,'95.94726563
'3,'Text 31 - Part of List 1,"'3 Your branch is up-to-date with 'origin/main'.",'52,'97.36328125
'3,'Text 32 - Part of List 1,"'4",'53,'99.94145966
'3,'Text 33 - Part of List 1,"'5 nothing to commit, working tree clean",'54,'95.16601563
'3,'Text 34 - Part of List 1,"'6 $ git remote -V",'55,'92.43164063
'3,'Text 35 - Part of List 1,"'7 origin ttps://github.com/awdeorio/p5-ml.git (fetch)",'56,'92.23632813
'3,'Text 36 - Part of List 1,"'8 origin :tps://githubcom/awdeorio/p5-ml.git (push)",'57,'91.79687500
'3,'Text 37,"'You should have a .gitignore file (instructions).",'58,'58.30078125
'3,'List 2,"",'59,'82.27539063
'3,'Text 38 - Part of List 2,"'1 $ head .gitignore",'60,'47.75390625
'3,'Text 39 - Part of List 2,"'2 # This is a sample gitignore file that's useful for C++ projects. 3",'61,'34.91210938
'3,'Section header 4,"'Group registration",'62,'65.57617188
'3,'Footer 3,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'63,'89.11132813
'3,'Page number 3,"'3/25",'64,'74.90234375
'4,'Header 8,"'8/23/24, 10:34 AM",'65,'85.74218750
'4,'Header 9,"'p5-ml",'66,'66.79687500
'4,'Header 10,"'Register your partnership (or working alone) on the Autograder. Then, submit the code you have.",'67,'51.36718750
'4,'Title 3,"'BinarySearchTree",'68,'66.11328125
'4,'Text 40,"'A binary search tree supports efficiently storing and searching for elements.",'69,'90.33203125
'4,'Text 41,"'Write implementations in BinarySearchTree.hpp for each _impl function. The file already contains function stubs and you should replace the assert (false) with your code. For example:",'70,'93.65234375
'4,'Section header 5,"'BinarySearchTree.hpp",'71,'82.37304688
'4,'List 3,"",'72,'95.45898438
'4,'Text 42 - Part of List 3,"'1 static bool empty_impl(const Node *node) {",'73,'96.77734375
'4,'Text 43 - Part of List 3,"'2 assert(false); // Replace with your code",'74,'96.28906250
'4,'Text 44 - Part of List 3,"'3 }",'75,'67.82226563
'4,'Text 45,"'Run the public Binary Search Tree tests.",'76,'62.69531250
'4,'List 4,"",'77,'93.99414063
'4,'Text 46 - Part of List 4,"'1 $ make BinarySearchTree_compile_check.exe",'78,'97.50976563
'4,'Text 47 - Part of List 4,"'2 $ make BinarySearchTree_public_tests.exe",'79,'96.82617188
'4,'Text 48 - Part of List 4,"'3 $ ./BinarySearchTree_public_tests.exe",'80,'96.67968750
'4,'Text 49,"'Write tests for BinarySearchTree in BinarySearchTree_tests.cpp using the Unit Test Framework. You'll submit these tests to the autograder. See the Unit Test Grading section.",'81,'95.60546875
'4,'List 5,"",'82,'88.08593750
'4,'Text 50 - Part of List 5,"'1 $ make BinarySearchTree_tests.exe",'83,'96.97265625
'4,'Text 51 - Part of List 5,"'2 $ ./BinarySearchTree_tests.exe",'84,'97.02148438
