'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'8/23/24, 10:34 AM",'0,'91.35742188
'1,'Header 2,"'p4-editor",'1,'74.60937500
'1,'Header 3,"'p4-editor",'2,'42.82226563
'1,'Title 1,"'EECS 280 Project 4: Text Editor",'3,'43.57910156
'1,'Text 1,"'Due 8:00pm Friday June 14, 2024. You may work alone or with a partner (partnership guidelines).",'4,'86.66992188
'1,'Section header 1,"'Introduction",'5,'77.09960938
'1,'Text 2,"'The learning goals of this project include Container ADTs, Dynamic Memory, The Big Three, Linked Lists, and Iterators. You will gain experience with new and delete , constructors and destructors, and the List data structure that is similar to std::list from the standard library.",'6,'92.23632813
'1,'Text 3,"'When you're done, you'll have implemented the basic features of a text editor that is usable through a terminal-based visual editor, similar to other terminal editors such as Pico, nano, Emacs, and vi.",'7,'86.81640625
'1,'Figure 1,"",'8,'45.33691406
'1,'Figure 2,"",'9,'40.25878906
'1,'Text 4,"'p4-editor - femto.exe femto.cpp - 80x24",'10,'69.53125000
'1,'Section header 2,"'U-M FEMTO -- femto.cpp 0% (1,0) initial",'11,'80.37109375
'1,'Table 1,"",'12,'26.53808594
'1,'Section header 3,"'Setup",'13,'52.73437500
'1,'Text 5,"'Set up your visual debugger and version control, then submit to the autograder.",'14,'68.75000000
'1,'Footer 1,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htm",'15,'90.82031250
'1,'Page number 1,"'1/15",'16,'74.07226563
'2,'Header 4,"'8/23/24, 10:34 AM",'17,'92.43164063
'2,'Header 5,"'p4-editor",'18,'77.68554688
'2,'Title 2,"'Visual debugger",'19,'75.48828125
'2,'Text 6,"'During setup, name your project p4-editor . Use this starter files link: https://eecs280staff.github.io/p4-editor/starter-files.tar.gz",'20,'92.13867188
'2,'Text 7,"'VS Code",'21,'96.14257813
'2,'Text 8,"'Visual Studio",'22,'96.33789063
'2,'Text 9,"'Xcode",'23,'94.62890625
'2,'Text 10,"'You should end up with a folder with starter files that look like this. You may have already renamed files like List.hpp.starter to List.hpp",'24,'91.45507813
'2,'Text 11,"'$ ls",'25,'65.03906250
'2,'Text 12,"'List.hpp.starter e0.cpp List_compile_check.cpp femto.cpp List_public_tests.cpp line.cpp List_tests.cpp.starter line_test1.in Makefile line_test1.out.correct TextBuffer.hpp line_test2.in TextBuffer_public_tests.cpp line_test2.out.correct TextBuffer_tests.cpp.starter unit_test_framework.hpp",'26,'60.40039063
'2,'Text 13,"'Here's a short description of each starter file.",'27,'80.90820313
'2,'Table 2,"",'28,'92.77343750
'2,'Footer 2,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htm/",'29,'81.44531250
'2,'Page number 2,"'2/15",'30,'85.40039063
'3,'Header 6,"'8/23/24, 10:34 AM",'31,'69.58007813
'3,'Header 7,"'p4-editor",'32,'58.20312500
'3,'Table 3,"",'33,'74.21875000
'3,'Section header 4,"'Version control",'34,'58.20312500
'3,'Text 14,"'Set up version control using the Version control tutorial.",'35,'86.47460938
'3,'Text 15,"'After you're done, you should have a local repository with a ""clean"" status and your local repository should be connected to a remote GitHub repository.",'36,'92.04101563
'3,'Text 16,"'$ git status",'37,'56.10351563
'3,'Text 17,"'On branch main Your branch is up-to-date with 'origin/main'",'38,'57.17773438
'3,'Text 18,"'nothing to commit, working tree clean $ git remote -V origin https://github.com/awdeorio/p4-editor.gi (fetch) origin https://githubcom/awdeorio/p4-editor.git (push)",'39,'73.73046875
'3,'Text 19,"'You should have a .gitignore file (instructions).",'40,'86.03515625
'3,'Text 20,"'$ head gitignore # This is a sample gitignore file that's useful for C++ projects.",'41,'88.72070313
'3,'Section header 5,"'Group registration",'42,'85.79101563
'3,'Text 21,"'Register your partnership (or working alone) on the Autograder. Then, submit the code you have.",'43,'96.24023438
'3,'Section header 6,"'Linked list",'44,'87.84179688
'3,'Text 22,"'Implement your doubly-linked list in List.hpp . List.hpp.starter provides prototypes for each function. Because List is a templated container, function implementations go in List.hpp . There is no List.cpp .",'45,'95.21484375
'3,'Text 23,"'While the List from lecture was singly linked, this List is doubly linked. This List also contains an iterator interface. The iterator keeps track of both the current node as well as the List to which it belongs - this allows us to go backwards from an end iterator by looking up the last node in the List",'46,'93.94531250
'3,'Footer 3,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htr",'47,'84.03320313
'3,'Page number 3,"'3/15",'48,'75.68359375
'4,'Text 24,"'8/23/24, 10:34 AM",'49,'50.29296875
'4,'Text 25,"'p4-editor",'50,'37.35351563
'4,'Text 26,"'Do not modify the public interface of the List class. Implement a doubly-linked list. No arrays or vectors, etc. Manage memory allocation so that there are no memory leaks (Leak checking tutorial).",'51,'96.28906250
'4,'Text 27,"'Compile and run the provided compile check and List tests.",'52,'79.44335938
'4,'List 1,"",'53,'38.86718750
'4,'Text 28 - Part of List 1,"'$ make List_compile_check.exe",'54,'63.08593750
'4,'Text 29 - Part of List 1,"'$ make List_public_tests.exe",'55,'61.23046875
'4,'Text 30 - Part of List 1,"'$ ./List_public_tests.exe",'56,'52.34375000
'4,'Text 31,"'Write tests for List in List_tests.cpp using the Unit Test Framework. You'll submit these tests to the autograder. See the Unit Test Grading section.",'57,'94.14062500
'4,'List 2,"",'58,'48.73046875
'4,'Text 32 - Part of List 2,"'$ make List_tests.exe",'59,'73.24218750
'4,'Text 33 - Part of List 2,"'$ ./List_tests.exe",'60,'63.33007813
'4,'Figure 3,"",'61,'71.87500000
'4,'Text 34,"'Pro-tip: Getting an error about typename ? Take a look at our reference on Typename.",'62,'93.65234375
'4,'Section header 7,"'Setup",'63,'75.34179688
'4,'Text 35,"'Rename these files (VS Code (macOS), VS Code (Windows), Visual Studio, Xcode, CLI):",'64,'80.90820313
'4,'List 3,"",'65,'80.37109375
'4,'Text 36 - Part of List 3,"'List.hpp.starter -> List.hpp",'66,'89.99023438
'4,'Text 37 - Part of List 3,"'List_tests.cpp.starter -> List_tests.cpp",'67,'95.16601563
'4,'Text 38,"'Edit List.hpp , adding a function stub for each member function declared in List.hpp , either inside or outside the class definition: For example:",'68,'92.77343750
'4,'Text 39,"'1",'69,'33.15429688
'4,'Text 40,"'// Inside the class definition:",'70,'99.80639648
'4,'Text 41,"'2",'71,'38.76953125
'4,'Text 42,"'template <typename T>",'72,'99.47500610
'4,'Text 43,"'class List {",'73,'97.85981750
'4,'Text 44,"'{",'74,'78.55140686
'4,'Text 45,"'assert (false);",'75,'99.90772247
'4,'Text 46,"'}",'76,'31.51888466
'4,'Text 47,"'13 1/ Or, outside the class definition: 14 template<typename T> 15 bool List<T>::empty() const { 16 assert (false), ;",'77,'26.63574219
'4,'Text 48,"'3",'78,'41.87011719
'4,'Text 49,"'4",'79,'56.68945313
'4,'Text 50,"'5",'80,'59.91210938
'4,'Text 51,"'bool empty ( ) const",'81,'99.15440369
'4,'Footer 4,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htm",'82,'66.99218750
'4,'Text 52,"'6",'83,'62.45117188
'4,'Text 53,"'7",'84,'69.28710938
'4,'Text 54,"'8",'85,'68.99414063
'4,'Text 55,"'9",'86,'71.67968750
'4,'Text 56,"'10",'87,'62.35351563
'4,'Page number 4,"'4/15",'88,'80.41992188
'4,'Text 57,"'11",'89,'62.45117188
'4,'Text 58,"'};",'90,'39.28222656
'4,'Text 59,"'12",'91,'61.32812500
'5,'Header 8,"'8/23/24, 10:34 AM",'92,'81.39648438
'5,'Header 9,"'p4-editor",'93,'53.71093750
'5,'Header 10,"'17 }",'94,'53.61328125
'5,'Text 60,"'The List tests should compile and run. The public tests will fail until you implement the functions. The file for your test cases ( List_tests.cpp ) will pass because it initially only contains ASSERT_TRUE(true)",'95,'96.19140625
'5,'List 4,"",'96,'76.85546875
'5,'Text 61 - Part of List 4,"'$ make List_public_tests.exe",'97,'96.04492188
'5,'Text 62 - Part of List 4,"'./List_public_tests.exe",'98,'95.11718750
'5,'Text 63 - Part of List 4,"'$ make List_tests.exe",'99,'96.43554688
'5,'Text 64 - Part of List 4,"'$ ./List_tests.exe",'100,'96.63085938
'5,'Text 65,"'At this point, we haven't written the List Iterator, so List_compile_check.exe won't compile. You'll need to take a look at the lecture about iterators and write your own tests. After you do, use the provided compile check like this:",'101,'96.72851563
'5,'Text 66,"'$ make List_compile_check.exe",'102,'91.35742188
'5,'Text 67,"'Configure your IDE to debug either the public tests or your own tests.",'103,'91.55273438
'5,'Table 4,"",'104,'88.91601563
'5,'Footer 5,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htm",'105,'89.20898438
'5,'Page number 5,"'5/15",'106,'77.05078125
'6,'Header 11,"'8/23/24, 10:34 AM",'107,'88.52539063
'6,'Header 12,"'p4-editor",'108,'79.63867188
'6,'Title 3,"'TextBuffer",'109,'77.68554688
'6,'Text 68,"'A text buffer holds an editable sequence of characters and at the same time has the ability to report the current row and column (You can display this information in Pico/nano with Ctrl-C , or in Emacs by typing M-x line-number-mode and M-x column-number- mode .). The text buffer keeps track of the current cursor position where all edits are done and allows scrolling using the arrow keys to move the cursor through the text.",'110,'98.63281250
'6,'Text 69,"'In this section, you will implement the TextBuffer class according the interface defined in the TextBuffer hpp file. The data representation of a TextBuffer is a doubly linked list of characters (either your implementation from part 1 or std::list from the C++ standard library). The TextBuffer also stores an iterator that indicates the current position of the cursor, the current row and column position, and the index of the cursor with respect to the entire buffer (i.e. how many characters from the start to the cursor).",'111,'97.60742188
'6,'Text 70,"'The definition of the TextBuffer class is shown below:",'112,'91.50390625
'6,'Table 5,"",'113,'68.75000000
'6,'Text 71,"'We use CharList as a type alias for either List<char>, , or std::list<char> (your choice - the autograder will use std::list<char> to avoid any issues with your List implementation), representing a doubly-linked list of characters. The following list contains the text spaces",'114,'96.97265625
'6,'Figure 4,"",'115,'44.75097656
'6,'Text 72,"'To use a linked list as a text buffer, we need to keep track of the cursor, which represents the position where edits can be made in the buffer. In many visual text editors, the cursor appears as a colored rectangle, so that if the cursor was pointing to the node containing the character I c' , we'd see it displayed as",'116,'96.09375000
'6,'Footer 6,"'file:///home/runner/work/p4-editor/p4-editor/_site/index.htm",'117,'85.54687500
'6,'Page number 6,"'6/15",'118,'69.28710938
'7,'Header 13,"'8/23/24, 10:34 AM",'119,'84.47265625
'7,'Header 14,"'p4-editor",'120,'75.14648438
'7,'Figure 5,"",'121,'65.03906250
'7,'Text 73,"'Pressing the left arrow key in a text editor moves the cursor one character backward (to the left).",'122,'95.16601563
'7,'Figure 6,"",'123,'66.45507813
