'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'9/3/24, 8:53 PM",'0,'92.13867188
'1,'Header 2,"'pl-stats",'1,'82.61718750
'1,'Header 3,"'p1-stats",'2,'58.78906250
'1,'Title 1,"'EECS 280 Project 1: Statistics",'3,'65.82031250
'1,'Text 1,"'Due 8pm ET Fri Sep 13, 2024. This is an individual project.",'4,'87.74414063
'1,'Text 2,"'Fall 2024 release.",'5,'74.02343750
'1,'Figure 1,"",'6,'87.40234375
'1,'Text 3,"'i IMPORTANT If you are retaking the course, please note the project has changed significantly this term. While we always suggest students retaking the course redo the entire project from scratch (as it is helpful practice), we nevertheless want to emphasize you must work from a fresh set of starter files.",'7,'97.07031250
'1,'Section header 1,"'Introduction",'8,'93.65234375
'1,'Text 4,"'Statistical analysis is a key tool in many fields, from the natural and medical sciences to social sciences and business. It's used to summarize data, make inferences about populations, and test hypotheses. The intersection of statistical analysis and computation also underlies many emerging fields like machine learning and data science.",'9,'95.84960938
'1,'Text 5,"'In this project, you'll implement a program that computes descriptive statistics and performs two- sample analysis on a given data set.",'10,'89.35546875
'1,'Text 6,"'For example, consider data from How Couples Meet and Stay Together (HCMST), a study of how Americans meet their spouses and romantic partners. We can investigate the age ( ppage ) of survey respondents depending on whether or not they met their partner online ( q24_met_online).",'11,'91.55273438
'1,'Text 7,"'As shown below, our program displays descriptive statistics for respondents' age in the two groups. It also runs a 95% confidence interval procedure for the difference in means between the groups, meaning there is a 95% chance the interval computed from the sample contains the true value of the difference in means among the overall population. Overall, we can be reasonbly confident the mean age of people who met their partner online is several years younger than those who did not.",'12,'95.45898438
'1,'Text 8,"'$ /two_sample.exe HCMST_ver_3.04.tsv q24_met_online 1 O ppage reading column q24_met_online from HCMST_ver_3.04.tsv reading column ppage from HCMST_ver_3.04.tsv Group A: ppage | q24_met_online = 1",'13,'75.14648438
'1,'Footer 1,"'file:///home/runner/work/pl-stats/p1-stats/_site/index.html",'14,'85.54687500
'1,'Page number 1,"'1/19",'15,'76.07421875
'2,'Header 4,"'9/3/24, 8:53 PM",'16,'89.30664063
'2,'Header 5,"'pl-stats",'17,'63.18359375
'2,'Text 9,"'count = 270 sum = 10687 mean = 39.5815 stdev = 12.2103 median = 40.5 min = 19 max = 86 0th percentile = 19 25th percentile = 29 50th percentile = 40. 5 75th percentile = 49 100th percentile = 86 Group B : ppage q24_met online = O count = 2664 sum = 125721 mean = 47. 1926 stdev = 16. 1446 median = 46 min = 19 max = 95 0th percentile = 19 25th percentile = 35 50th percentile = 46 75th percentile = 58 100th percentile = 95 Confidence interval for mean ( (ppage | A) - mean (ppage B) : 95% [ (-9.31595, -6.05068]",'18,'35.66894531
'2,'Section header 2,"'Learning Goals",'19,'63.96484375
